Municipio ;Departamento;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
San Jose De la Montana;Antioquia;23.61085535;25.82284801;27.39780511;29.80029949;28.58930632;31.61907932;33.94840348;36.58463824;38.77186179;36.92258748;44.24979031;56.14737527
San Juan De Uraba;Antioquia;118.2860205;135.8802064;135.7121665;160.6128409;166.5532567;186.7637061;188.1231263;202.6070096;224.4048086;222.8293715;225.677315;302.5478226
San Luis;Antioquia;86.64989793;92.66331872;98.02041777;102.2910833;101.3743818;108.3832251;109.7867122;114.7801627;123.0833527;115.7471448;139.7588457;175.8201767
San Pedro ;Antioquia;407.0601185;427.7069035;449.9936727;520.2115984;644.1827981;764.6359407;735.0717857;742.6851404;823.2239131;859.9153762;1031.722778;1266.153945
San Pedro De Uraba;Antioquia;176.5414827;245.4654925;202.154886;232.645591;246.6528165;264.3019761;267.861295;265.3418602;282.5855332;268.7170477;335.1631397;418.6530689
San Rafael;Antioquia;120.3930715;133.4732793;138.9714783;145.5861756;148.5603911;178.6212657;185.5045803;205.6131403;223.5268118;221.2389492;264.9112044;203.8025684
San Roque;Antioquia;149.5359532;158.4682937;162.689108;165.4468914;157.0061736;186.2676335;195.6626023;198.1324842;200.8418291;209.2303084;264.8422273;345.672763
San Vicente Ferrer;Antioquia;133.9408949;138.8383024;141.4557854;185.0793765;185.8006153;217.8121344;217.4637727;257.4837343;281.8197116;277.578472;339.4111639;465.9752309
Santa Barbara;Antioquia;196.0275705;204.2656898;225.024772;258.5611986;250.9843746;268.3652865;282.4340234;295.7077014;295.3797223;275.6890877;409.6698983;499.9620308
Santa Rosa De Osos;Antioquia;453.2350654;499.5026591;525.2003348;615.1666218;616.1788348;757.868787;973.1127296;1001.246482;955.8279735;1023.477433;962.8495793;1174.513126
Santo Domingo;Antioquia;96.515173;112.2123238;129.9264698;142.9433014;145.1452932;162.2875311;163.193729;178.4234869;180.2438704;231.2095795;374.5515635;515.4798349
El Santuario;Antioquia;261.871228;267.4066569;289.1945874;323.0438436;321.3626924;382.1827739;374.3852651;311.8467936;455.0736159;480.3308241;540.1688397;746.7095689
Segovia;Antioquia;350.8398424;446.5872182;638.4711324;553.260036;510.2978328;546.3609328;583.4082272;771.723897;985.2772069;1194.467499;1090.412386;1704.982948
Sonson;Antioquia;479.2763128;538.5871813;558.6272928;648.5374211;789.0299831;737.5774821;741.3544804;793.9341351;1178.593055;931.3971538;1176.617319;1583.408824
Sopetran;Antioquia;94.9644372;107.1106633;111.7386084;118.5965677;146.0752579;140.6914196;147.7103715;169.6236854;177.2041688;173.0499424;200.8483876;260.501959
Tamesis;Antioquia;159.1052781;163.9344634;154.8009778;175.5610293;175.3791411;200.2926796;207.2531423;228.2614137;247.6448599;297.0537181;317.4107281;416.687379
Taraza;Antioquia;591.36242;394.2256867;300.8167724;310.8166034;265.1850312;315.3633915;269.6271739;289.9523236;321.3487643;304.8816216;355.9002466;441.054344
Tarso;Antioquia;78.40062802;57.74756421;66.0732293;77.77312613;82.54285428;90.40010541;109.6831136;113.2526048;120.914569;119.1839346;119.6724568;153.2983173
Titiribi;Antioquia;120.7542448;98.98962216;91.61714786;96.61098528;95.240377;109.8021966;124.3220531;121.8534158;119.6670784;107.920947;141.7016856;190.9143671
Toledo;Antioquia;38.2081731;49.20422556;57.87989998;64.68416233;59.10656452;61.61718222;65.92674416;73.82613284;81.72620756;80.08569738;108.8606909;119.242352
Turbo;Antioquia;1493.004334;1519.280885;1599.999559;1617.479814;1900.860005;2127.433292;2072.894739;2227.688496;2292.837501;2296.290064;2785.04934;3440.703148
Uramita;Antioquia;45.73614185;49.33317038;47.40657673;54.9368348;55.16662176;58.48033009;62.51071181;71.85092771;89.41655201;94.01304379;135.216753;151.865852
Urrao;Antioquia;222.3881126;251.3744834;335.7039928;319.8869219;345.0121046;366.2852505;491.1473093;520.5599092;769.1319869;817.1401455;737.1298063;963.1504518
Valdivia;Antioquia;90.34830577;87.67629715;105.4684986;108.2044438;111.1095309;117.0460648;125.0052302;132.9955403;130.5158893;124.8987898;152.8980449;191.9359918
Valparaiso;Antioquia;70.43515423;63.67777953;71.53551618;87.03888885;73.54803987;108.5730738;115.4470532;169.4541693;201.8973605;226.1007822;213.6946621;391.0337516
Vegachi;Antioquia;110.1529114;170.432727;116.3033269;239.043136;121.6905669;121.774827;124.1891846;129.745871;130.9753279;124.201107;161.921477;347.0350694
Venecia;Antioquia;128.8310766;117.667336;127.066827;140.285042;142.2492351;150.2741063;171.718413;184.1803263;188.1759992;196.1843757;232.1148705;332.5129305
Vigia Del Fuerte;Antioquia;31.77040642;34.46292621;35.73709779;40.09879421;48.64494247;55.54911758;61.59044227;69.24802172;80.72235356;82.09664318;98.74774473;122.9880241
